district_id,district_name,timestamp,predicted_peak_demand_mw
AP-05,Kadapa,2023-05-25,616.8313429252771
AP-05,Kadapa,2023-05-26,621.306565754761
AP-05,Kadapa,2023-05-27,625.6299604999907
AP-05,Kadapa,2023-05-28,624.5471894145147
AP-05,Kadapa,2023-05-29,620.4596552591621
AP-05,Kadapa,2023-05-30,617.9387110700558
AP-05,Kadapa,2023-05-31,617.5566372347976
AP-05,Kadapa,2023-06-01,619.6078039585151
AP-05,Kadapa,2023-06-02,622.0990904712871
AP-05,Kadapa,2023-06-03,624.0981490669341
AP-05,Kadapa,2023-06-04,623.3678632740989
AP-05,Kadapa,2023-06-05,621.1418263541306
AP-05,Kadapa,2023-06-06,620.1926675463931
AP-05,Kadapa,2023-06-07,620.2359031885188
AP-06,Krishna,2023-05-15,928.9878072918063
AP-06,Krishna,2023-05-16,919.029361403823
AP-06,Krishna,2023-05-17,927.7250912459111
AP-06,Krishna,2023-05-18,942.0498962694242
AP-06,Krishna,2023-05-19,954.6641186550266
AP-06,Krishna,2023-05-20,968.99016603324
AP-06,Krishna,2023-05-21,960.9789088238472
AP-06,Krishna,2023-05-22,946.2566967022788
AP-06,Krishna,2023-05-23,938.3467285615673
AP-06,Krishna,2023-05-24,938.7453363731927
AP-06,Krishna,2023-05-25,944.8913246721617
AP-06,Krishna,2023-05-26,951.7466819364347
AP-06,Krishna,2023-05-27,958.369461785019
AP-06,Krishna,2023-05-28,956.7108220012165
AP-06,Krishna,2023-05-29,950.449344521202
AP-06,Krishna,2023-05-30,946.5876433907557
AP-06,Krishna,2023-05-31,946.0023646813315
AP-06,Krishna,2023-06-01,949.144438547918
AP-06,Krishna,2023-06-02,952.9607086518778
AP-06,Krishna,2023-06-03,956.0229608318335
AP-06,Krishna,2023-06-04,954.9042746332549
AP-06,Krishna,2023-06-05,951.4943263577621
AP-06,Krishna,2023-06-06,950.0403601586485
AP-06,Krishna,2023-06-07,950.1065905531149
AP-07,Kurnool,2023-05-15,880.7036177236251
AP-07,Kurnool,2023-05-16,871.2627625782608
AP-07,Kurnool,2023-05-17,879.5065314098453
AP-07,Kurnool,2023-05-18,893.0868039477288
AP-07,Kurnool,2023-05-19,905.0454014692147
AP-07,Kurnool,2023-05-20,918.6268517903484
AP-07,Kurnool,2023-05-21,911.0319800907993
AP-07,Kurnool,2023-05-22,897.0749557094368
AP-07,Kurnool,2023-05-23,889.5761085739599
AP-07,Kurnool,2023-05-24,889.9539987238585
AP-07,Kurnool,2023-05-25,895.7805489615504
AP-07,Kurnool,2023-05-26,902.2795986757053
AP-07,Kurnool,2023-05-27,908.5581591974403
AP-07,Kurnool,2023-05-28,906.9857273026088
AP-07,Kurnool,2023-05-29,901.0496904400586
AP-07,Kurnool,2023-05-30,897.3887014265795
AP-07,Kurnool,2023-05-31,896.8338426084975
AP-07,Kurnool,2023-06-01,899.8126070225586
AP-07,Kurnool,2023-06-02,903.4305262895142
AP-07,Kurnool,2023-06-03,906.3336177532561
AP-07,Kurnool,2023-06-04,905.2730753279923
AP-07,Kurnool,2023-06-05,902.0403592913505
AP-07,Kurnool,2023-06-06,900.6619630610056
AP-07,Kurnool,2023-06-07,900.7247511272774
AP-08,Prakasam,2023-05-15,716.5373731918081
AP-08,Prakasam,2023-05-16,708.856326571347
AP-08,Prakasam,2023-05-17,715.5634279672196
AP-08,Prakasam,2023-05-18,726.6122900539624
AP-08,Prakasam,2023-05-19,736.341763037452
AP-08,Prakasam,2023-05-20,747.3915833645146
AP-08,Prakasam,2023-05-21,741.2124223984342
AP-08,Prakasam,2023-05-22,729.8570363337733
AP-08,Prakasam,2023-05-23,723.7560006160936
AP-08,Prakasam,2023-05-24,724.0634507161207
AP-08,Prakasam,2023-05-25,728.8039115454709
AP-08,Prakasam,2023-05-26,734.0915155892242
AP-08,Prakasam,2023-05-27,739.1997303996707
AP-08,Prakasam,2023-05-28,737.9204053273407
AP-08,Prakasam,2023-05-29,733.0908665641695
AP-08,Prakasam,2023-05-30,730.1122987483782
AP-08,Prakasam,2023-05-31,729.6608675608597
AP-08,Prakasam,2023-06-01,732.084379836335
AP-08,Prakasam,2023-06-02,735.0279062574765
AP-08,Prakasam,2023-06-03,737.389851286091
AP-08,Prakasam,2023-06-04,736.5269976900979
AP-08,Prakasam,2023-06-05,733.8968712655494
AP-08,Prakasam,2023-06-06,732.7754129290189
AP-08,Prakasam,2023-06-07,732.8264970794285
AP-09,Nellore,2023-05-15,625.7630968036283
AP-09,Nellore,2023-05-16,619.0551207792902
AP-09,Nellore,2023-05-17,624.9125354754161
AP-09,Nellore,2023-05-18,634.5616764891754
AP-09,Nellore,2023-05-19,643.0585747281259
AP-09,Nellore,2023-05-20,652.7085525878788
AP-09,Nellore,2023-05-21,647.3121963803044
AP-09,Nellore,2023-05-22,637.3953632672312
AP-09,Nellore,2023-05-23,632.0672350393924
AP-09,Nellore,2023-05-24,632.3357359353729
AP-09,Nellore,2023-05-25,636.4756532095224
AP-09,Nellore,2023-05-26,641.0933990590536
AP-09,Nellore,2023-05-27,645.5544815350231
AP-09,Nellore,2023-05-28,644.4372272939586
AP-09,Nellore,2023-05-29,640.2195168916204
AP-09,Nellore,2023-05-30,637.6182878557272
AP-09,Nellore,2023-05-31,637.2240460639322
AP-09,Nellore,2023-06-01,639.3405365686598
AP-09,Nellore,2023-06-02,641.9111634162336
AP-09,Nellore,2023-06-03,643.973886298366
AP-09,Nellore,2023-06-04,643.2203429962049
AP-09,Nellore,2023-06-05,640.9234131806962
AP-09,Nellore,2023-06-06,639.9440263854511
AP-09,Nellore,2023-06-07,639.9886389588547
AP-10,Srikakulam,2023-05-15,550.4397610772658
AP-10,Srikakulam,2023-05-16,544.5392266114129
AP-10,Srikakulam,2023-05-17,549.6915821311534
AP-10,Srikakulam,2023-05-18,558.1792524673306
AP-10,Srikakulam,2023-05-19,565.6533759182591
AP-10,Srikakulam,2023-05-20,574.1417823689678
AP-10,Srikakulam,2023-05-21,569.3949875567496
AP-10,Srikakulam,2023-05-22,560.6718473183981
AP-10,Srikakulam,2023-05-23,555.985067858725
AP-10,Srikakulam,2023-05-24,556.2212492024117
AP-10,Srikakulam,2023-05-25,559.862843100969
AP-10,Srikakulam,2023-05-26,563.924749172316
AP-10,Srikakulam,2023-05-27,567.8488494984003
AP-10,Srikakulam,2023-05-28,566.8660795641307
AP-10,Srikakulam,2023-05-29,563.1560565250368
AP-10,Srikakulam,2023-05-30,560.8679383916123
AP-10,Srikakulam,2023-05-31,560.521151630311
AP-10,Srikakulam,2023-06-01,562.3828793890991
AP-10,Srikakulam,2023-06-02,564.6440789309465
AP-10,Srikakulam,2023-06-03,566.4585110957853
AP-10,Srikakulam,2023-06-04,565.7956720799955
AP-10,Srikakulam,2023-06-05,563.7752245570942
AP-10,Srikakulam,2023-06-06,562.9137269131287
AP-10,Srikakulam,2023-06-07,562.9529694545485
AP-11,Visakhapatnam,2023-05-15,911.6054990472603
AP-11,Visakhapatnam,2023-05-16,901.8333858266197
AP-11,Visakhapatnam,2023-05-17,910.3664097049267
AP-11,Visakhapatnam,2023-05-18,924.423183033613
AP-11,Visakhapatnam,2023-05-19,936.8013804681334
AP-11,Visakhapatnam,2023-05-20,950.8593729057982
AP-11,Visakhapatnam,2023-05-21,942.9980144799491
AP-11,Visakhapatnam,2023-05-22,928.5512699448548
AP-11,Visakhapatnam,2023-05-23,920.7893053660277
AP-11,Visakhapatnam,2023-05-24,921.1804548194316
AP-11,Visakhapatnam,2023-05-25,927.2114454163407
AP-11,Visakhapatnam,2023-05-26,933.9385319625712
AP-11,Visakhapatnam,2023-05-27,940.4373928534899
AP-11,Visakhapatnam,2023-05-28,938.809787909717
AP-11,Visakhapatnam,2023-05-29,932.6654690519897
AP-11,Visakhapatnam,2023-05-30,928.8760242836515
AP-11,Visakhapatnam,2023-05-31,928.3016967351106
AP-11,Visakhapatnam,2023-06-01,931.384979198788
AP-11,Visakhapatnam,2023-06-02,935.1298430014261
AP-11,Visakhapatnam,2023-06-03,938.134797323545
AP-11,Visakhapatnam,2023-06-04,937.0370428833596
AP-11,Visakhapatnam,2023-06-05,933.6908982138533
AP-11,Visakhapatnam,2023-06-06,932.2641372034961
AP-11,Visakhapatnam,2023-06-07,932.3291283598127
AP-12,Vizianagaram,2023-05-15,467.3909550199941
AP-12,Vizianagaram,2023-05-16,462.3806766314454
AP-12,Vizianagaram,2023-05-17,466.75565921311966
AP-12,Vizianagaram,2023-05-18,473.9627336740139
AP-12,Vizianagaram,2023-05-19,480.30918235866216
AP-12,Vizianagaram,2023-05-20,487.5168818711937
AP-12,Vizianagaram,2023-05-21,483.4862701359066
AP-12,Vizianagaram,2023-05-22,476.07925281070993
AP-12,Vizianagaram,2023-05-23,472.0996014800402
AP-12,Vizianagaram,2023-05-24,472.3001484455565
AP-12,Vizianagaram,2023-05-25,475.39230887871753
AP-12,Vizianagaram,2023-05-26,478.8413659638611
AP-12,Vizianagaram,2023-05-27,482.1734090477643
AP-12,Vizianagaram,2023-05-28,481.3389166825248
AP-12,Vizianagaram,2023-05-29,478.18865150546975
AP-12,Vizianagaram,2023-05-30,476.2457582132286
AP-12,Vizianagaram,2023-05-31,475.95129366503596
AP-12,Vizianagaram,2023-06-01,477.53212916548057
AP-12,Vizianagaram,2023-06-02,479.4521652676808
AP-12,Vizianagaram,2023-06-03,480.99284100063153
AP-12,Vizianagaram,2023-06-04,480.4300092749433
AP-12,Vizianagaram,2023-06-05,478.7144012028658
AP-12,Vizianagaram,2023-06-06,477.9828839051828
AP-12,Vizianagaram,2023-06-07,478.0162056421077
AP-13,West Godavari,2023-05-15,782.203871004535
AP-13,West Godavari,2023-05-16,773.8189009741125
AP-13,West Godavari,2023-05-17,781.1406693442699
AP-13,West Godavari,2023-05-18,793.202095611469
AP-13,West Godavari,2023-05-19,803.8232184101571
AP-13,West Godavari,2023-05-20,815.8856907348483
AP-13,West Godavari,2023-05-21,809.1402454753803
AP-13,West Godavari,2023-05-22,796.7442040840388
AP-13,West Godavari,2023-05-23,790.08404379924
AP-13,West Godavari,2023-05-24,790.4196699192157
AP-13,West Godavari,2023-05-25,795.5945665119028
AP-13,West Godavari,2023-05-26,801.3667488238166
AP-13,West Godavari,2023-05-27,806.9431019187787
AP-13,West Godavari,2023-05-28,805.5465341174481
AP-13,West Godavari,2023-05-29,800.2743961145253
AP-13,West Godavari,2023-05-30,797.0228598196587
AP-13,West Godavari,2023-05-31,796.5300575799149
AP-13,West Godavari,2023-06-01,799.1756707108245
AP-13,West Godavari,2023-06-02,802.3889542702916
AP-13,West Godavari,2023-06-03,804.9673578729572
AP-13,West Godavari,2023-06-04,804.0254287452558
AP-13,West Godavari,2023-06-05,801.15426647587
AP-13,West Godavari,2023-06-06,799.9300329818137
AP-13,West Godavari,2023-06-07,799.9857986985681
