district_id,n,mae,rmse,r2,mape_pct,mase,within_5pct_pct
AP-12,1,112.24493837043036,112.24493837043036,,23.175864283207414,,0.0
AP-10,1,132.18936384832773,132.18936384832773,,23.175877769861337,,0.0
AP-05,1,146.6582863703934,146.6582863703934,,23.3378850953024,,0.0
AP-09,1,163.4168897303067,163.4168897303067,,25.202084848133634,,0.0
AP-08,1,172.29214302677758,172.29214302677758,,23.20470771635234,,0.0
AP-13,1,197.7100236008713,197.7100236008713,,24.392606166174456,,0.0
AP-07,1,212.83623411044937,212.83623411044937,,23.321971616798535,,0.0
AP-11,1,214.1827143300585,214.1827143300585,,22.67393819953046,,0.0
AP-01,1,227.14151520973587,227.14151520973587,,25.221362484462894,,0.0
AP-06,1,230.32290669480074,230.32290669480074,,23.926357939569492,,0.0
AP-04,1,230.66254597760098,230.66254597760098,,21.82869123932172,,0.0
AP-02,1,231.2978763067913,231.2978763067913,,25.289484939388995,,0.0
AP-03,1,239.17050846837265,239.17050846837265,,22.21313675323229,,0.0
