district_id,timestamp,predicted_peak_demand_mw
AP-12,2023-05-14,513.6043701171875
AP-07,2023-05-14,903.3580322265625
AP-05,2023-05-14,653.4533081054688
AP-08,2023-05-14,769.6704711914062
AP-09,2023-05-14,669.0105590820312
AP-03,2023-05-14,1065.573486328125
AP-06,2023-05-14,1019.2958984375
AP-10,2023-05-14,578.3765258789062
AP-02,2023-05-14,946.3050537109375
AP-11,2023-05-14,961.1844482421875
AP-01,2023-05-14,933.0919189453125
AP-04,2023-05-14,1069.3880615234375
AP-13,2023-05-14,845.4220581054688
