district_id,outage_risk,outage_count_30d,demand_anomaly,temp_extreme_frac,utilization,pop_density,risk_label
AP-01,0.6321750241078447,0.0,0.1599294010473819,0.0,0.0,235.23261892315733,medium
AP-02,0.7021204588651804,0.0,0.15992940104738515,0.0,0.0,301.610348468849,high
AP-03,1.0,0.0,0.15992940104741732,0.0,0.0,497.8254834829277,high
AP-04,0.9561744864518904,0.0,0.15992940104741374,0.0,0.0,463.5238346062681,high
AP-05,0.22929936792775268,0.0,0.15992940104728864,0.0,0.0,204.4403932547692,low
AP-06,0.9587134362260211,0.0,0.15992940104739578,0.0,0.0,551.1630571788702,high
AP-07,0.6631923328622827,0.0,0.1599294010473847,0.0,0.0,258.2398912674142,high
AP-08,0.42564318183455535,0.0,0.159929401047336,0.0,0.0,210.48451151707704,medium
AP-09,0.3041731430963657,0.0,0.159929401047298,0.0,0.0,247.78219639033344,low
AP-10,0.3452467325612104,0.0,0.15992940104725717,0.0,0.0,488.2645194449203,medium
AP-11,0.8329793263066803,0.0,0.15992940104739184,0.0,0.0,422.9011737299525,high
AP-12,0.0,0.0,0.15992940104719672,0.0,0.0,370.0871692919407,low
AP-13,0.7823055518061582,0.0,0.15992940104735803,0.0,0.0,523.1206406613278,high
