district_id,timestamp,outage_risk
AP-12,2023-05-14,0.24481497514773237
AP-07,2023-05-14,0.8086833551815339
AP-05,2023-05-14,0.310784130305145
AP-08,2023-05-14,0.3822371643427472
AP-09,2023-05-14,0.32652295575083334
AP-03,2023-05-14,0.7034146090098461
AP-06,2023-05-14,0.6390139377856611
AP-10,2023-05-14,0.30109063404792885
AP-02,2023-05-14,0.5075652129496319
AP-11,2023-05-14,0.615374161244649
AP-01,2023-05-14,0.49125739864746726
AP-04,2023-05-14,0.6888487610071377
AP-13,2023-05-14,0.4583159024751405
