district_id,district_name,peak_demand_mw,shed_mw,shed_pct,impact_score,outage_risk,crit_count
AP-08,Prakasam,769.6704711914062,165.9646434054969,21.563077916786003,2.8747680957896735,0.3822371643427472,0.0
AP-12,Vizianagaram,513.6043701171875,154.08131103515623,29.999999999999996,2.98456549219364,0.24481497514773237,0.0
AP-05,Kadapa,653.4533081054688,147.92997116262393,22.63818536499745,3.1680488871004187,0.310784130305145,3.0
AP-09,Nellore,669.0105590820312,140.04517187550942,20.933178105240888,3.3464158330795226,0.32652295575083334,3.0
AP-01,Anantapur,933.0919189453125,130.35655727365304,13.970387549920801,3.595134685298018,0.49125739864746726,2.0
AP-10,Srikakulam,578.3765258789062,127.33526424934598,22.015980689369464,3.680436705992502,0.30109063404792885,1.0
AP-07,Kurnool,903.3580322265625,112.76696540379973,12.483086592572382,4.155910189055743,0.8086833551815339,2.0
AP-13,West Godavari,845.4220581054688,106.1004686292848,12.55000003986748,4.417034029774264,0.4583159024751405,2.0
AP-02,Chittoor,946.3050537109375,99.60598211808019,10.52577936971541,4.705032474404767,0.5075652129496319,7.0
AP-03,East Godavari,1065.573486328125,89.53715502101319,8.402719865858389,5.234133030031632,0.7034146090098461,4.0
AP-04,Guntur,1069.3880615234375,83.44979609355534,7.803509230753311,5.615943986072132,0.6888487610071377,7.0
AP-11,Visakhapatnam,961.1844482421875,72.26921380813836,7.518766449072722,6.484772087803899,0.615374161244649,14.0
AP-06,Krishna,1019.2958984375,70.5574999243428,6.922180304316134,6.642091641754169,0.6390139377856611,12.0
